Year,Month,Tmin,Tmax,Tmean,Rainfall
2015,1,-1.61,18.53,7.29,14.8
2015,2,-1.67,21.01,9.56,5.6
2015,3,2.61,24.36,13.13,18.6
2015,4,6.76,24.99,12.99,159.2
2015,5,9.09,24.68,16.33,126
2015,6,14.79,28.34,19.16,169.2
2015,7,13.02,27.78,19.39,218.8
2015,8,13.45,28.3,19.03,129.2
2015,9,11.61,27.92,18.78,3
2015,10,7.27,25.65,15.9,0
2015,11,3.72,21.06,11.3,18
2015,12,-1.9,18.56,7.78,2.8
2016,1,-1.13,16.3,6.39,17.6
2016,2,2.5,21.49,10.23,12
2016,3,3.3,25.4,12.23,52.4
2016,4,6.59,24.41,14.47,37.2
2016,5,8.19,27.21,16.07,0
2016,6,11.93,29.41,19.52,0
2016,7,15.32,28.47,19.34,0
2016,8,13.23,29.59,20.23,0
2016,9,13.26,27.41,18.38,240.8
2016,10,4.04,27.8,15.31,116.4
2016,11,2.8,23.09,11.6,1.8
2016,12,0.58,19.79,9.25,4
2017,1,-2.28,20.6,6.95,8
2017,2,1.34,22.23,10.01,7.6
2017,3,1.26,25.11,10.71,58.6
2017,4,4.35,28.22,14.27,127.8
2017,5,7.32,27.43,16.16,207.2
2017,6,10.27,28,19.02,182.4
2017,7,15.15,30.32,19.68,139.8
2017,8,15.1,29.99,19.84,213.8
2017,9,14.41,28.87,19.11,49
2017,10,6.15,26.79,15.98,57.8
2017,11,2.77,21.1,10.66,1.4
2017,12,0.439,20.29,9.77,0
2018,1,-1.727,18.105,7.6,6.2
2018,2,0.55,20.555,9.3,16.4
2018,3,2.53,25.38,11.5,99.6
2018,4,3.722,24.46,13.65,114.2
2018,5,7.368,25.428,16.13,173.4
2018,6,13.522,29.115,19.5,135.8
2018,7,15.533,29.439,20.41,165.2
2018,8,15.39,31.586,20.07,290.8
2018,9,12.364,28.048,18.74,149.6
2018,10,4.532,24.195,14.08,36
2018,11,2.021,22.729,10.76,6.8
2018,12,-2.044,20.841,7.49,34.8
2019,1,-1.613,18.176,6.41,2.4
2019,2,NA,NA,#VALUE!,0
2019,3,NA,NA,#VALUE!,0
2019,4,NA,NA,#VALUE!,0
2019,5,NA,NA,#VALUE!,0
2019,6,NA,NA,#VALUE!,0
2019,7,NA,NA,#VALUE!,0
2019,8,NA,NA,#VALUE!,0
2019,9,NA,NA,#VALUE!,0
2019,10,5.82,23.3,13.74,8.6
2019,11,3.3,22.75,13.16,2.6
2019,12,-2.33,18.46,7.3,3.8
2020,1,-2.3,28.57,9.87,51.8
2020,2,2.07,29.56,11.72,116.8
2020,3,1.45,28.44,13.39,58
2020,4,0.55,29.46,13.68,144.4
2020,5,-0.23,29.02,15.16,227.2
2020,6,-1.99,29.39,17.06,130.2
2020,7,-1.84,27.7,17.07,145.8
2020,8,0.25,27.51,17.69,136.6
2020,9,-1.16,29.04,16.91,117.6
2020,10,-1.3,27.14,15.21,24.2
2020,11,0.47,25.82,11.58,34
2020,12,-0.14,26.13,10.45,33.4
