Year,Month,Tmin,Tmax,Tmean,Rainfall
2015,1,-6.8,21.1,4.13,9.2
2015,2,-5.76,23.71,7.25,3.6
2015,3,-1.81,23.14,10.09,16.4
2015,4,NA,NA,NA,0
2015,5,NA,NA,NA,0
2015,6,11.47,29.31,19.12,36
2015,7,10.69,29.26,19.15,87
2015,8,12.65,29.21,19.35,46.4
2015,9,6.71,28.47,18.29,80.4
2015,10,3.06,27.04,13.66,25
2015,11,-2.45,24.73,9.76,0
2015,12,-7.09,22.06,4.62,0
2016,1,-6.67,18.6,4.3,0
2016,2,-4.26,22.75,8.11,0
2016,3,-0.23,25.94,11.13,11.6
2016,4,2.8,25.87,15.17,25
2016,5,5.39,29.07,15.77,68
2016,6,10.05,33.05,19.95,18.4
2016,7,13.69,29.21,19.28,201.2
2016,8,10.03,29.97,19.36,74.4
2016,9,11.98,29.71,18.29,96.2
2016,10,0.22,28.34,13.83,82.2
2016,11,-2.3,23.4,9,23.6
2016,12,-3.18,22.9,7.46,1.8
2017,1,-7.45,23.18,4,4
2017,2,-3.9,24.99,8.17,6.6
2017,3,-2.57,25.36,9.49,123.8
2017,4,12.68,14.67,13.25,2.4
2017,5,6.74,28.82,16.19,64.6
2017,6,8.64,31.79,19.7,21.4
2017,7,14.24,31.51,19.54,143.2
2017,8,14.58,29.94,19.71,107.6
2017,9,NA,NA,NA,0
2017,10,NA,NA,NA,0
2017,11,NA,NA,NA,0
2017,12,NA,NA,NA,0
2018,1,-6.67,20.72,4.65,2
2018,2,-4.44,23.06,7.68,1
2018,3,-1.04,24.65,10.61,22.6
2018,4,1.29,25.23,13.61,19.4
2018,5,5.72,29.04,16.37,31.2
2018,6,9.85,30.75,19.93,59.4
2018,7,15.32,31.59,20.81,104.2
2018,8,14.39,30.02,19.77,12
2018,9,8.22,30.37,18.35,53.4
2018,10,-0.85,26.45,12.57,12.8
2018,11,-3.75,24.39,8.43,38.6
2018,12,-6.42,20.13,4.22,22
2019,1,-6.96,28.64,9.85,0
2019,2,-4.08,26.89,8.55,0
2019,3,-4.71,30.49,11.19,0
2019,4,-2.6,30.12,14.28,0
2019,5,-4.68,29.84,15.72,0
2019,6,-4.93,30.8,17.67,0
2019,7,-4.65,30.44,17.85,0
2019,8,-4.56,31.15,17.84,0
2019,9,-4.59,28.54,15.13,0
2019,10,-3.84,29.49,13.13,0
2019,11,-3.24,26.74,12.33,0
2019,12,-7.38,31.15,7.31,0
2020,1,-5.2,29.21,12.45,8.8
2020,2,-2.16,29.97,9.77,22.2
2020,3,-2.45,31.15,11.79,15.2
2020,4,1.75,30.29,12.97,29
2020,5,-0.12,27.19,15.23,74.6
2020,6,-0.4,27.46,12.53,1
2020,7,0.22,29.14,17.85,39.8
2020,8,3.77,27.83,12.71,0.6
2020,9,0.88,29.41,16.35,70.4
2020,10,-0.76,28.12,14.26,21
2020,11,-3.27,28.05,8.61,3.8
2020,12,-7.32,27.06,6.76,1.8
